Job,Company,Location,Status,Date
cost controller oil gas company,TotalSoft,Bucharest Metropolitan Area,Not specified,2023-11-15
rd controller,Bosch Romania,Timişoara,Actively Hiring,2023-11-08
bi consultant,Delbridge Solutions,Bucharest,Not specified,2023-07-25
expert group accounting,OMV Petrom,Bucharest,Actively Hiring,2023-10-23
senior hr reporting controller,BNP Paribas,Bucharest,Actively Hiring,2023-11-15
controller reporting mts france,Worldline,Bucharest,Be an early applicant,2023-11-08
payroll officer,TotalSoft,Bucharest,Not specified,2023-07-25
retail banking officer bucuresti,First Bank SA,Bucharest,Be an early applicant,2023-11-17
corporate finance executive,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
accountant,INTERBRANDS ORBICO,Bucharest,Be an early applicant,2023-11-01
finance development program fresh graduates,Dell Technologies,Bucharest,Be an early applicant,2023-11-18
smecorporate credit analyst,Patria Bank,Bucharest Metropolitan Area,Not specified,2023-11-19
finance accounting specialist,MonkeyRecruit,Bucharest,Be an early applicant,2023-11-15
junior accountant,GABTEO HR,Bucharest,Be an early applicant,2023-11-08
procurement english,WNS Global Services,Bucharest,Be an early applicant,2023-11-08
treasury reporting analyst,888Sparkware,Bucharest,Actively Hiring,2023-11-18
finance controller,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
chief accountant,RIAN & PARTNERS,Mioveni,Be an early applicant,2023-10-23
reporting specialist,_VOIS,Bucharest,Actively Hiring,2023-11-01
treasury cash management supervising manager,MEGA IMAGE - Ahold Delhaize Group,Bucharest,Actively Hiring,2023-11-15
controlling reporting analyst,Allianz Services,Bucharest Metropolitan Area,Actively Hiring,2023-11-20
commercial finance manager,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
financial accountant,Plexus Corp.,Oradea,Actively Hiring,2023-11-19
commercial finance analyst,SLB,Bucharest,Actively Hiring,2023-11-19
accounting project coordinator,UniCredit Bank Romania,Bucharest,Actively Hiring,2023-10-25
junior auditor,Mazars in Romania,Bucharest,Actively Hiring,2023-11-15
emea gl accountant,Stefanini EMEA,Bucharest,Actively Hiring,2023-11-15
associate banking finance mfx,Schoenherr Attorneys at Law,Bucharest,Be an early applicant,2023-09-23
responsable contrle de gestion importateurs europe,Renault Group,Bucharest,Actively Hiring,2023-11-08
credit risk analyst,ManpowerGroup,Bucharest Metropolitan Area,Actively Hiring,2023-11-01
financial solutions enterprise account manager,TotalSoft,Bucharest,Not specified,2023-07-25
recruitment manager relocation qatar oil gas,NES Fircroft,Bucharest,Actively Hiring,2023-11-19
junior financial analyst solution business,Siemens Energy,Bucharest,Actively Hiring,2023-11-15
controlling analyst french,Michelin,Bucharest Metropolitan Area,Be an early applicant,2023-11-17
risk analyst market liquidity,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
financial accountant manager,Chop Chop by Urban Logistic,Bucharest,Actively Hiring,2023-11-17
senior accountant,Mazars in Romania,Bucharest,Actively Hiring,2023-11-15
accounts payable,Sensience,Cluj-Napoca,Actively Hiring,2023-11-15
chief accountant,Antal International,Bucharest,Be an early applicant,2023-11-08
project controller,Cegeka,Bucharest,Actively Hiring,2023-11-08
risk assurance services junior internal auditor,PwC Romania,Bucharest,Actively Hiring,2023-11-15
senior sales account manager,EXANTE,Bucharest,Not specified,2023-10-23
junior banker national hire,BRD - Groupe Societe Generale,Bucharest,Be an early applicant,2023-11-20
financial controller,OnAir Entertainment,Bucharest,Actively Hiring,2023-11-08
junior accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-09-23
