Title,JobTitle(Grouped),Position,Company,Location,City,HiringStatus,Date,Num1,Time,Num2,Days,DateSince,DateSinceFormated,,1 day,
Financial Analyst,Financial Analyst,Not specified,Vodafone,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Financial Business Controller,Financial Controller,Not specified,Adecco,"Petrăchioaia, Ilfov, Romania",Petrăchioaia,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Finance Operations Manager,Finance Operations Manager,Head,Siena AI,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Associate Financial Analyst,Financial Analyst,Junior,RWS Group,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Junior Accountant,Accountant,Junior,La Lorraine Bakery Group NV,"Câmpia Turzii, Cluj, Romania",Câmpia Turzii,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Future of Finance- Capital Markets & Accounting Advisory Services,Accountant,Not specified,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Senior Consultant Mergers & Acquisitions,Financial Consultant Merger and Acquisitor,Senior,PwC Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Junior Cashback Analyst,Cashback Analyst,Junior,Samsung Electronics Romania,"Bucharest, Bucharest, Romania",Bucharest,Not specified,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Finance Manager,Finance Manager,Head,Antal International,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,6 days ago,6,day,1,6.00,45249.00,11/19/2023,,,
Financial Controller,Financial Controller,Not specified,Nuvei,"Iaşi, Iaşi, Romania",Iaşi,Be an early applicant,17 hours ago,17,hour,0.0416667,0.71,45254.29,11/24/2023,,,
Senior Controlling Analyst,Controlling Analyst,Senior,BCR,Bucharest Metropolitan Area,Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Global Professor (Multiple Positions),Global Professor ,Not specified,University of Arizona,"Sector 2, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Strategy Analyst,Strategy Analyst,Not specified,Temenos,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Credit Analyst AGRO,Credit Analyst ,Not specified,Patria Bank,"Bucharest, Romania",Bucharest,Not specified,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Senior Financial Controller - Cluj,Financial Controller ,Senior,"Regina Maria, Reteaua de sanatate","Cluj, Romania",Cluj Napoca,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Financial Assistant,Financial Assistant,Not specified,Hays,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Sales Director,Sales Director,Head,Adecco,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Country Sales Manager,Sales Manager,Head,Innovance Consultancy,"Bucharest, Romania",Bucharest,Actively Hiring,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Business Consultant - Financial Solutions Post-Implementation,Financial Consultant ,Not specified,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Finance Operations Manager,Finance Operations Manager,Head,Siena AI,"Cluj-Napoca, Cluj, Romania",Cluj Napoca,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Finance Business Partner,Finance Business Partner,Not specified,Vodafone,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Strategy & Forecasting Manager,Strategy and Forecasting Manager,Head,Garrett - Advancing Motion,Bucharest Metropolitan Area,Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Financial Controller,Financial Controller,Not specified,Antal International,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Marketing Manager,Marketing Manager,Head,EDUROM,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Reporting Analyst - Hybrid Bucharest,Reporting Analyst,Not specified,Genpact,"Bucharest, Romania",Bucharest,Actively Hiring,5 days ago,5,day,1,5.00,45250.00,11/20/2023,,,
FP&A  Specialist,Financial Analyst,Senior,The Goodyear Tire & Rubber Company,"Bucharest, Romania",Bucharest,Actively Hiring,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
In house accounting consultant,Financial Consultant,Not specified,Mazars in Romania,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Senior Corporate Financial Analyst,Financial Analyst,Senior,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
F&Ι (Financial and Insurance) Associate,Financial and Insurance Associate,Junior,Spotawheel,"Bucharest, Bucharest, Romania",Bucharest,Not specified,5 months ago,5,month,30,150.00,45105.00,6/28/2023,,,
Continuous Improvement Lead,Continuous Improvement Lead,Head,Societe Generale Global Solution Centre Romania,Bucharest Metropolitan Area,Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Financial & Accounting Manager,Financial and Accounting Manager,Head,GABTEO HR,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Logistics Analyst (Global Network Management Center),Logistics Analyst,Not specified,Expeditors,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Chief Accountant,Accountant,Head,"First Brands Group, LLC","Cristian, Braşov, Romania",Braşov,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Financial Accountant,Accountant,Not specified,Accenture,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,4 hours ago,4,hour,0.0416667,0.17,45254.83,11/24/2023,,,
Credit Analyst,Credit Analyst,Not specified,AllCloud,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Assistant,Financial Assistant,Junior,Sterling Cruise,"Voluntari, Ilfov, Romania",Not specified,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Jr. Financial Controller,Financial Controller,Junior,interpool HR,"Bucharest, Romania",Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Controller (Financial Reporting),Financial Controller ,Not specified,Revolut,Romania,Not specified,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Accountant,Accountant,Not specified,Mantu,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Chief Executive Officer,Chief Executive Officer,Head,SomProduct,Cluj-Napoca Metropolitan Area,Cluj Napoca,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Junior Accountant,Accountant,Junior,Accace,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
Demand Planning Manager,Demand Planning Manager,Head,PepsiCo,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Office Manager,Office Manager,Head,Tradeshift,"Bucharest, Bucharest, Romania",Bucharest,Not specified,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
FP&A Business Process Expert,Financial Analyst,Senior,The Goodyear Tire & Rubber Company,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Finance Business Partner,Finance Business Partner,Not specified,Vodafone,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Finance & Accounting Manager,Finance and Accounting Manager,Head,Procter & Gamble,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
Junior Accountant,Accountant,Junior,Ness Digital Engineering Romania,"Timişoara, Timiş, Romania",Timişoara,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
XaaS Project Manager (Customer Services Transformation),Project Manager,Head,Deutsche Bank,"Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Financial Reporting Analyst (Consolidations),Financial Reporting Analyst ,Not specified,Garrett - Advancing Motion,"Bucharest, Romania",Bucharest,Actively Hiring,4 days ago,4,day,1,4.00,45251.00,11/21/2023,,,
Financial Controller,Financial Controller,Not specified,Siemens Energy,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Finance Manager,Finance Manager,Head,Purem by Eberspächer,"Oradea, Bihor, Romania",Oradea,Be an early applicant,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Junior Finance Controller | Food & Beverage Industry | On-Site,Financial Controller ,Junior,Antal International,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 months ago,3,month,30,90.00,45165.00,8/27/2023,,,
General Accountant,Accountant,Not specified,SLB,"Bucharest, Romania",Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Accountant (>7500 RON/month),Accountant,Not specified,Voxility,Bucharest Metropolitan Area,Bucharest,Actively Hiring,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
Financial Analyst,Financial Analyst,Not specified,Siemens Energy,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 days ago,2,day,1,2.00,45253.00,11/23/2023,,,
Product Manager,Product Manager,Head,Arctic,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Junior Finance Controller | food & beverage industry,Financial Controller ,Junior,Antal International,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
Senior Accountant,Accountant,Senior,BNP Paribas Personal Finance,"Bucharest, Romania",Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
CORPORATE CREDIT ANALYST,Credit Analyst,Not specified,First Bank SA,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Financial Controller,Financial Controller,Not specified,Hipo.ro Jobs,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Controller,Financial Controller,Not specified,HELLA,"Timiş, Romania",Timişoara,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Junior Accountant,Accountant,Junior,Adecco,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,4 weeks ago,4,week,7,28.00,45227.00,10/28/2023,,,
Legal Counsel - Romania,Legal Counsel ,Not specified,MYTILINEOS S.A.,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,2 months ago,2,month,30,60.00,45195.00,9/26/2023,,,
Business Consultant - Human Capital Management,Financial Consultant ,Not specified,TotalSoft,"Bucharest, Bucharest, Romania",Bucharest,Not specified,4 months ago,4,month,30,120.00,45135.00,7/28/2023,,,
IA - Internal Audit Manager,Internal Audit Manager,Head,MAS PLC,Bucharest Metropolitan Area,Bucharest,Be an early applicant,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Financial Controller,Financial Controller,Not specified,Quipu GmbH,Bucharest Metropolitan Area,Bucharest,Actively Hiring,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Jr. Controlling Reporting Officer,Controlling Reporting Officer,Junior,Hipo.ro Jobs,"Otopeni, Bucharest, Romania",Otopeni,Be an early applicant,3 weeks ago,3,week,7,21.00,45234.00,11/4/2023,,,
"Junior Accountant (All Cities, RO)",Accountant,Junior,Cegeka,Romania,Not specified,Actively Hiring,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
Financial Planning Analyst,Financial Analyst,Not specified,RSight®,Cluj-Napoca Metropolitan Area,Cluj Napoca,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Key Account Manager,Key Account Manager,Head,Unilever,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Risk Analyst – Credit Control and Validation Department,Risk Analyst ,Not specified,Alpha Bank Romania,"Bucharest, Romania",Bucharest,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
"Financial Analyst - on-site, Bucharest",Financial Analyst,Not specified,Antal International,"Bucharest, Bucharest, Romania",Bucharest,Actively Hiring,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Director of Accounting,Director of Accounting,Head,Mood Media,"Bucharest, Bucharest, Romania",Bucharest,Be an early applicant,3 days ago,3,day,1,3.00,45252.00,11/22/2023,,,
Billing Specialist,Billing Specialist,Senior,Hootsuite,"Bucharest, Bucharest, Romania",Bucharest,Not specified,2 weeks ago,2,week,7,14.00,45241.00,11/11/2023,,,
Interim Managing Director (m/f/d) Romania,Interim Managing Director ,Head,Morgan Philips Group,"Piteşti, Argeş, Romania",Piteşti,Be an early applicant,1 month ago,1,month,30,30.00,45225.00,10/26/2023,,,
Senior Plant Finance Manager,Finance Manager,Senior,Procter & Gamble,"Prahova, Romania",Not specified,Actively Hiring,1 week ago,1,week,7,7.00,45248.00,11/18/2023,,,
Sr Expert FSC Australasia & Europe,Financial Systems Controler,Senior,OMV Petrom,"Bucharest, Romania",Bucharest,Be an early applicant,1 day ago,1,day,1,1.00,45254.00,11/24/2023,,,
